Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Northbound,16,15,1
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1600 - 1615,PM peak (16:00-19:00),Northbound,16,0,1
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1645 - 1700,PM peak (16:00-19:00),Northbound,16,45,1
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1700 - 1715,PM peak (16:00-19:00),Northbound,17,0,1
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1715 - 1730,PM peak (16:00-19:00),Northbound,17,15,1
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1715 - 1730,PM peak (16:00-19:00),Southbound,17,15,1
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0715 - 0730,AM peak (07:00-10:00),Northbound,19,15,2
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0815 - 0830,AM peak (07:00-10:00),Northbound,19,15,2
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0915 - 0930,AM peak (07:00-10:00),Northbound,19,15,2
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Northbound,19,30,2
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1615 - 1630,PM peak (16:00-19:00),Southbound,19,15,2
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1730 - 1745,PM peak (16:00-19:00),Northbound,19,30,2
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0900 - 0915,AM peak (07:00-10:00),Northbound,20,0,3
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Northbound,21,0,3
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,1745 - 1800,PM peak (16:00-19:00),Northbound,21,45,3
