Ano e mês,id,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,ignora 1,ignora 2,ignora 3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1415 - 1430,Inter-peak (10:00-16:00),Northbound,14,15,5,2,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1430 - 1445,Inter-peak (10:00-16:00),Northbound,14,30,6,2,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1445 - 1500,Inter-peak (10:00-16:00),Northbound,14,45,5,0,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1500 - 1515,Inter-peak (10:00-16:00),Northbound,15,0,8,0,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Northbound,15,15,6,1,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Northbound,15,30,12,2,14
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Northbound,15,45,9,0,9
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Northbound,16,0,10,3,13
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Northbound,16,15,13,0,13
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Northbound,16,30,18,0,18
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Northbound,16,45,26,2,28
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1700 - 1715,PM peak (16:00-19:00),Northbound,17,0,21,2,23
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1715 - 1730,PM peak (16:00-19:00),Northbound,17,15,30,5,35
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1730 - 1745,PM peak (16:00-19:00),Northbound,17,30,36,4,40
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1745 - 1800,PM peak (16:00-19:00),Northbound,17,45,31,2,33
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1800 - 1815,PM peak (16:00-19:00),Northbound,18,0,42,1,43
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1815 - 1830,PM peak (16:00-19:00),Northbound,18,15,29,3,32
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1830 - 1845,PM peak (16:00-19:00),Northbound,18,30,30,5,35
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1845 - 1900,PM peak (16:00-19:00),Northbound,18,45,17,1,18
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1900 - 1915,Evening (19:00-22:00),Northbound,19,0,10,0,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1915 - 1930,Evening (19:00-22:00),Northbound,19,15,7,2,9
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1930 - 1945,Evening (19:00-22:00),Northbound,19,30,5,1,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1945 - 2000,Evening (19:00-22:00),Northbound,19,45,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2000 - 2015,Evening (19:00-22:00),Northbound,20,0,8,2,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2015 - 2030,Evening (19:00-22:00),Northbound,20,15,4,1,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2030 - 2045,Evening (19:00-22:00),Northbound,20,30,4,0,4
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2045 - 2100,Evening (19:00-22:00),Northbound,20,45,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2100 - 2115,Evening (19:00-22:00),Northbound,21,0,6,0,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2115 - 2130,Evening (19:00-22:00),Northbound,21,15,5,0,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2130 - 2145,Evening (19:00-22:00),Northbound,21,30,3,1,4
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2145 - 2200,Evening (19:00-22:00),Northbound,21,45,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Southbound,6,0,2,0,2
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Southbound,6,15,1,0,1
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0630 - 0645,Early Morning (06:00-07:00),Southbound,6,30,7,1,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0645 - 0700,Early Morning (06:00-07:00),Southbound,6,45,14,2,16
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0700 - 0715,AM peak (07:00-10:00),Southbound,7,0,8,1,9
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0715 - 0730,AM peak (07:00-10:00),Southbound,7,15,4,1,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0730 - 0745,AM peak (07:00-10:00),Southbound,7,30,18,3,21
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0745 - 0800,AM peak (07:00-10:00),Southbound,7,45,22,2,24
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0800 - 0815,AM peak (07:00-10:00),Southbound,8,0,34,1,35
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0815 - 0830,AM peak (07:00-10:00),Southbound,8,15,26,5,31
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0830 - 0845,AM peak (07:00-10:00),Southbound,8,30,34,3,37
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0845 - 0900,AM peak (07:00-10:00),Southbound,8,45,43,11,54
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,0900 - 0915,AM peak (07:00-10:00),Southbound,9,0,26,4,30
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Southbound,9,15,21,3,24
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,0930 - 0945,AM peak (07:00-10:00),Southbound,9,30,32,2,34
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,0945 - 1000,AM peak (07:00-10:00),Southbound,9,45,12,1,13
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Southbound,10,0,10,2,12
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Southbound,10,15,10,3,13
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Southbound,10,30,4,1,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Southbound,10,45,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Southbound,11,0,4,1,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Southbound,11,15,4,2,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Southbound,11,30,5,1,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Southbound,11,45,6,4,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1200 - 1215,Inter-peak (10:00-16:00),Southbound,12,0,4,1,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1215 - 1230,Inter-peak (10:00-16:00),Southbound,12,15,8,0,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1230 - 1245,Inter-peak (10:00-16:00),Southbound,12,30,7,3,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1245 - 1300,Inter-peak (10:00-16:00),Southbound,12,45,4,1,5
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1300 - 1315,Inter-peak (10:00-16:00),Southbound,13,0,2,2,4
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1315 - 1330,Inter-peak (10:00-16:00),Southbound,13,15,5,1,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1330 - 1345,Inter-peak (10:00-16:00),Southbound,13,30,9,3,12
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1345 - 1400,Inter-peak (10:00-16:00),Southbound,13,45,7,2,9
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Southbound,14,0,6,1,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1415 - 1430,Inter-peak (10:00-16:00),Southbound,14,15,8,3,11
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1430 - 1445,Inter-peak (10:00-16:00),Southbound,14,30,6,0,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1445 - 1500,Inter-peak (10:00-16:00),Southbound,14,45,9,1,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1500 - 1515,Inter-peak (10:00-16:00),Southbound,15,0,13,3,16
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Southbound,15,15,10,1,11
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Southbound,15,30,19,1,20
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Southbound,15,45,18,2,20
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Southbound,16,0,22,2,24
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Southbound,16,15,25,0,25
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Southbound,16,30,8,2,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Southbound,16,45,22,1,23
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1700 - 1715,PM peak (16:00-19:00),Southbound,17,0,19,4,23
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1715 - 1730,PM peak (16:00-19:00),Southbound,17,15,25,0,25
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1730 - 1745,PM peak (16:00-19:00),Southbound,17,30,27,5,32
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1745 - 1800,PM peak (16:00-19:00),Southbound,17,45,39,1,40
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1800 - 1815,PM peak (16:00-19:00),Southbound,18,0,62,2,64
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1815 - 1830,PM peak (16:00-19:00),Southbound,18,15,24,5,29
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1830 - 1845,PM peak (16:00-19:00),Southbound,18,30,49,2,51
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1845 - 1900,PM peak (16:00-19:00),Southbound,18,45,22,3,25
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1900 - 1915,Evening (19:00-22:00),Southbound,19,0,9,1,10
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1915 - 1930,Evening (19:00-22:00),Southbound,19,15,11,0,11
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1930 - 1945,Evening (19:00-22:00),Southbound,19,30,6,2,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,1945 - 2000,Evening (19:00-22:00),Southbound,19,45,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2000 - 2015,Evening (19:00-22:00),Southbound,20,0,5,1,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2015 - 2030,Evening (19:00-22:00),Southbound,20,15,6,3,9
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2030 - 2045,Evening (19:00-22:00),Southbound,20,30,3,1,4
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2045 - 2100,Evening (19:00-22:00),Southbound,20,45,7,0,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2100 - 2115,Evening (19:00-22:00),Southbound,21,0,7,1,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2115 - 2130,Evening (19:00-22:00),Southbound,21,15,4,2,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2130 - 2145,Evening (19:00-22:00),Southbound,21,30,5,1,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,2145 - 2200,Evening (19:00-22:00),Southbound,21,45,2,0,2
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0600 - 0615,Early Morning (06:00-07:00),Eastbound,6,0,1,0,1
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0615 - 0630,Early Morning (06:00-07:00),Eastbound,6,15,1,0,1
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0630 - 0645,Early Morning (06:00-07:00),Eastbound,6,30,2,0,2
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0645 - 0700,Early Morning (06:00-07:00),Eastbound,6,45,9,2,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0700 - 0715,AM peak (07:00-10:00),Eastbound,7,0,11,1,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0715 - 0730,AM peak (07:00-10:00),Eastbound,7,15,13,0,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0730 - 0745,AM peak (07:00-10:00),Eastbound,7,30,13,0,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0745 - 0800,AM peak (07:00-10:00),Eastbound,7,45,18,1,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0800 - 0815,AM peak (07:00-10:00),Eastbound,8,0,18,2,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0815 - 0830,AM peak (07:00-10:00),Eastbound,8,15,27,5,32
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0830 - 0845,AM peak (07:00-10:00),Eastbound,8,30,32,1,33
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0845 - 0900,AM peak (07:00-10:00),Eastbound,8,45,36,4,40
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0900 - 0915,AM peak (07:00-10:00),Eastbound,9,0,28,2,30
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0915 - 0930,AM peak (07:00-10:00),Eastbound,9,15,27,2,29
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0930 - 0945,AM peak (07:00-10:00),Eastbound,9,30,19,2,21
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0945 - 1000,AM peak (07:00-10:00),Eastbound,9,45,18,0,18
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1000 - 1015,Inter-peak (10:00-16:00),Eastbound,10,0,12,1,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1015 - 1030,Inter-peak (10:00-16:00),Eastbound,10,15,9,3,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1030 - 1045,Inter-peak (10:00-16:00),Eastbound,10,30,13,1,14
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1045 - 1100,Inter-peak (10:00-16:00),Eastbound,10,45,3,1,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1100 - 1115,Inter-peak (10:00-16:00),Eastbound,11,0,3,1,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1115 - 1130,Inter-peak (10:00-16:00),Eastbound,11,15,10,0,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1130 - 1145,Inter-peak (10:00-16:00),Eastbound,11,30,7,0,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1145 - 1200,Inter-peak (10:00-16:00),Eastbound,11,45,10,2,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1200 - 1215,Inter-peak (10:00-16:00),Eastbound,12,0,8,1,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1215 - 1230,Inter-peak (10:00-16:00),Eastbound,12,15,9,2,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1230 - 1245,Inter-peak (10:00-16:00),Eastbound,12,30,11,2,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1245 - 1300,Inter-peak (10:00-16:00),Eastbound,12,45,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1300 - 1315,Inter-peak (10:00-16:00),Eastbound,13,0,10,1,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1315 - 1330,Inter-peak (10:00-16:00),Eastbound,13,15,8,2,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1330 - 1345,Inter-peak (10:00-16:00),Eastbound,13,30,7,0,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1345 - 1400,Inter-peak (10:00-16:00),Eastbound,13,45,10,2,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,1400 - 1415,Inter-peak (10:00-16:00),Eastbound,14,0,5,1,6
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,1415 - 1430,Inter-peak (10:00-16:00),Eastbound,14,15,6,1,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1430 - 1445,Inter-peak (10:00-16:00),Eastbound,14,30,7,0,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1445 - 1500,Inter-peak (10:00-16:00),Eastbound,14,45,7,0,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1500 - 1515,Inter-peak (10:00-16:00),Eastbound,15,0,2,0,2
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1515 - 1530,Inter-peak (10:00-16:00),Eastbound,15,15,13,0,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1530 - 1545,Inter-peak (10:00-16:00),Eastbound,15,30,5,0,5
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,1545 - 1600,Inter-peak (10:00-16:00),Eastbound,15,45,4,1,5
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,1600 - 1615,PM peak (16:00-19:00),Eastbound,16,0,5,0,5
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,1615 - 1630,PM peak (16:00-19:00),Eastbound,16,15,4,1,5
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1630 - 1645,PM peak (16:00-19:00),Eastbound,16,30,6,0,6
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1645 - 1700,PM peak (16:00-19:00),Eastbound,16,45,8,0,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1700 - 1715,PM peak (16:00-19:00),Eastbound,17,0,7,4,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1715 - 1730,PM peak (16:00-19:00),Eastbound,17,15,3,1,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1730 - 1745,PM peak (16:00-19:00),Eastbound,17,30,7,1,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,1745 - 1800,PM peak (16:00-19:00),Eastbound,17,45,8,1,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1800 - 1815,PM peak (16:00-19:00),Eastbound,18,0,15,0,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1815 - 1830,PM peak (16:00-19:00),Eastbound,18,15,15,2,17
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1830 - 1845,PM peak (16:00-19:00),Eastbound,18,30,20,0,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1845 - 1900,PM peak (16:00-19:00),Eastbound,18,45,15,0,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1900 - 1915,Evening (19:00-22:00),Eastbound,19,0,18,1,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1915 - 1930,Evening (19:00-22:00),Eastbound,19,15,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1930 - 1945,Evening (19:00-22:00),Eastbound,19,30,4,0,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,1945 - 2000,Evening (19:00-22:00),Eastbound,19,45,8,0,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2000 - 2015,Evening (19:00-22:00),Eastbound,20,0,5,0,5
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2015 - 2030,Evening (19:00-22:00),Eastbound,20,15,10,0,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2030 - 2045,Evening (19:00-22:00),Eastbound,20,30,6,1,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2045 - 2100,Evening (19:00-22:00),Eastbound,20,45,12,3,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2100 - 2115,Evening (19:00-22:00),Eastbound,21,0,6,2,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2115 - 2130,Evening (19:00-22:00),Eastbound,21,15,5,0,5
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2130 - 2145,Evening (19:00-22:00),Eastbound,21,30,17,1,18
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"qua., 10/01/18",Fine,2145 - 2200,Evening (19:00-22:00),Eastbound,21,45,8,1,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0600 - 0615,Early Morning (06:00-07:00),Westbound,6,0,1,0,1
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0615 - 0630,Early Morning (06:00-07:00),Westbound,6,15,2,0,2
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0630 - 0645,Early Morning (06:00-07:00),Westbound,6,30,3,1,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0645 - 0700,Early Morning (06:00-07:00),Westbound,6,45,4,1,5
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0700 - 0715,AM peak (07:00-10:00),Westbound,7,0,6,1,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0715 - 0730,AM peak (07:00-10:00),Westbound,7,15,4,0,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0730 - 0745,AM peak (07:00-10:00),Westbound,7,30,4,4,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Light Rain,0745 - 0800,AM peak (07:00-10:00),Westbound,7,45,8,0,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0800 - 0815,AM peak (07:00-10:00),Westbound,8,0,7,0,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0815 - 0830,AM peak (07:00-10:00),Westbound,8,15,12,0,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0830 - 0845,AM peak (07:00-10:00),Westbound,8,30,13,1,14
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0845 - 0900,AM peak (07:00-10:00),Westbound,8,45,13,0,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0900 - 0915,AM peak (07:00-10:00),Westbound,9,0,8,2,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (west),"seg., 15/01/18",Fine,0915 - 0930,AM peak (07:00-10:00),Westbound,9,15,3,1,4
