Ano e mês,id,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,ignora 1,ignora 2,ignora 3
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Eastbound,15,15,12,1,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Eastbound,15,30,14,3,17
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Eastbound,15,45,14,2,16
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Eastbound,16,0,10,0,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Eastbound,16,15,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Eastbound,16,30,20,1,21
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Eastbound,16,45,15,1,16
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/02/18",Dry,1700 - 1715,PM peak (16:00-19:00),Eastbound,17,0,17,2,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1715 - 1730,PM peak (16:00-19:00),Eastbound,17,15,21,1,22
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1730 - 1745,PM peak (16:00-19:00),Eastbound,17,30,18,1,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1745 - 1800,PM peak (16:00-19:00),Eastbound,17,45,15,2,17
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1800 - 1815,PM peak (16:00-19:00),Eastbound,18,0,13,2,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1815 - 1830,PM peak (16:00-19:00),Eastbound,18,15,12,3,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1830 - 1845,PM peak (16:00-19:00),Eastbound,18,30,14,1,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1845 - 1900,PM peak (16:00-19:00),Eastbound,18,45,11,2,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1900 - 1915,Evening (19:00-22:00),Eastbound,19,0,9,1,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1915 - 1930,Evening (19:00-22:00),Eastbound,19,15,17,3,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qui., 22/02/18",Dry,1930 - 1945,Evening (19:00-22:00),Eastbound,19,30,12,4,16
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,1945 - 2000,Evening (19:00-22:00),Eastbound,19,45,8,1,9
